order_id,order_date_key,customer_id,channel_id,region_id,order_amt,shipping_fee,discount_amt
100001,20240101,838,3,1,131.8,0.0,0.0
100002,20240101,39,1,3,39.99,4.99,3.89
100003,20240101,933,3,4,42.82,0.0,2.25
100004,20240101,249,3,5,69.33,0.0,0.0
100005,20240101,784,1,4,162.22,4.99,0.0
100006,20240101,201,2,4,155.9,4.99,16.77
100007,20240101,905,4,3,93.06,6.99,4.53
100008,20240101,658,2,4,34.78,0.0,0.0
100009,20240101,75,4,4,22.56,4.99,0.0
100010,20240101,534,5,5,592.19,4.99,0.0
100011,20240101,929,1,5,55.93,4.99,2.68
100012,20240101,443,3,2,99.92,6.99,0.0
100013,20240101,689,3,4,148.96,0.0,0.0
100014,20240101,200,5,6,226.53,0.0,39.98
100015,20240101,372,2,1,563.43,0.0,0.0
100016,20240101,577,1,5,36.16,6.99,0.0
100017,20240101,864,1,6,62.29,0.0,0.0
100018,20240101,332,1,2,109.66,4.99,0.0
100019,20240101,480,1,5,218.89,4.99,11.26
100020,20240101,103,2,5,149.2,4.99,25.45
100021,20240101,792,1,1,94.92,0.0,0.0
100022,20240101,376,1,3,119.95,6.99,0.0
100023,20240101,709,1,3,198.88,6.99,0.0
100024,20240101,63,1,4,68.95,9.99,0.0
100025,20240101,54,1,5,37.72,0.0,0.0
100026,20240101,459,1,3,68.37,0.0,3.6
100027,20240101,625,1,3,187.07,0.0,33.01
100028,20240101,592,1,3,112.64,0.0,5.93
100029,20240101,48,1,1,383.64,0.0,0.0
100030,20240101,923,3,1,648.12,6.99,0.0
100031,20240101,502,1,1,114.17,0.0,0.0
100032,20240101,925,2,1,89.83,0.0,0.0
100033,20240101,586,2,1,122.49,0.0,21.62
100034,20240101,925,1,1,89.26,6.99,0.0
100035,20240101,620,2,5,361.82,4.99,18.78
100036,20240101,632,1,1,77.84,0.0,8.65
100037,20240101,993,1,5,140.59,4.99,7.14
100038,20240101,167,3,2,53.37,4.99,0.0
100039,20240101,214,1,6,490.28,0.0,0.0
100040,20240101,248,1,3,322.23,4.99,16.7
100041,20240101,164,1,6,17.05,0.0,1.89
100042,20240101,397,1,3,100.16,0.0,0.0
100043,20240101,755,1,3,53.39,0.0,5.93
100044,20240101,494,1,1,82.63,0.0,0.0
100045,20240101,764,1,1,73.14,4.99,0.0
100046,20240101,560,1,1,93.23,0.0,0.0
100047,20240101,744,1,4,63.49,4.99,0.0
100048,20240101,854,2,2,40.76,0.0,0.0
100049,20240101,426,2,2,80.87,0.0,4.26
100050,20240101,853,2,6,385.34,4.99,20.02
100051,20240101,655,2,5,21.3,4.99,1.81
100052,20240101,67,2,4,138.64,0.0,0.0
100053,20240101,150,2,3,214.72,4.99,0.0
100054,20240101,103,1,5,383.23,4.99,0.0
100055,20240101,824,1,3,461.59,4.99,24.03
100056,20240101,602,5,2,49.73,6.99,0.0
100057,20240101,66,2,5,126.32,0.0,0.0
100058,20240101,434,1,6,278.0,6.99,14.26
100059,20240101,949,1,4,41.02,0.0,0.0
100060,20240101,926,1,6,77.85,4.99,3.84
100061,20240101,733,1,3,67.26,6.99,0.0
100062,20240101,636,2,5,525.94,4.99,0.0
100063,20240101,440,3,2,231.17,0.0,0.0
100064,20240101,138,2,3,51.66,6.99,0.0
100065,20240101,265,3,5,33.74,0.0,0.0
100066,20240101,300,1,5,575.29,4.99,0.0
100067,20240101,466,1,1,44.03,0.0,0.0
100068,20240102,352,2,5,201.12,0.0,0.0
100069,20240102,936,5,4,44.29,0.0,0.0
100070,20240102,827,1,4,43.51,9.99,3.72
100071,20240102,995,1,1,125.38,4.99,21.24
100072,20240102,570,1,2,266.93,9.99,13.52
100073,20240102,706,4,5,23.33,4.99,2.04
100074,20240102,490,4,5,46.19,4.99,4.58
100075,20240102,354,2,3,351.23,4.99,18.22
100076,20240102,225,2,5,152.75,4.99,0.0
100077,20240102,770,3,4,960.21,0.0,50.54
100078,20240102,925,1,1,210.81,0.0,23.42
100079,20240102,735,2,2,24.8,6.99,0.0
100080,20240102,464,3,5,328.13,9.99,16.74
100081,20240102,597,3,1,21.31,0.0,0.0
100082,20240102,676,2,3,35.86,6.99,0.0
100083,20240102,523,2,3,497.93,0.0,0.0
100084,20240102,834,1,1,386.4,0.0,0.0
100085,20240102,666,1,6,75.17,4.99,12.39
100086,20240102,14,1,2,539.67,6.99,28.04
100087,20240102,214,1,6,58.76,4.99,5.98
100088,20240102,415,1,3,36.61,4.99,3.51
100089,20240102,334,3,1,169.46,4.99,0.0
100090,20240102,6,1,6,59.13,6.99,5.79
100091,20240102,971,1,2,135.56,4.99,0.0
100092,20240102,596,2,2,86.61,0.0,4.56
100093,20240102,39,1,3,193.32,0.0,0.0
100094,20240102,129,1,1,643.02,4.99,0.0
100095,20240102,913,5,1,20.74,0.0,0.0
100096,20240102,36,1,1,169.45,4.99,0.0
100097,20240102,533,1,6,16.35,4.99,0.6
100098,20240102,186,1,6,61.02,4.99,2.95
100099,20240102,683,3,6,89.29,4.99,9.37
100100,20240102,763,1,3,186.17,9.99,0.0
100101,20240102,846,1,5,127.62,9.99,0.0
100102,20240102,755,1,3,167.65,9.99,0.0
100103,20240102,932,2,4,70.88,4.99,11.63
100104,20240102,312,2,2,121.46,9.99,0.0
100105,20240102,416,1,5,82.56,0.0,0.0
100106,20240102,247,1,5,315.73,6.99,0.0
100107,20240102,981,4,6,62.4,9.99,0.0
100108,20240102,377,1,2,154.01,9.99,0.0
100109,20240102,114,2,6,92.84,0.0,4.89
100110,20240102,139,4,4,84.89,4.99,0.0
100111,20240102,787,1,4,403.84,6.99,0.0
100112,20240102,790,1,6,34.06,0.0,3.78
100113,20240102,683,1,6,80.99,4.99,8.45
100114,20240102,268,1,6,41.89,0.0,2.21
100115,20240102,420,1,6,31.95,4.99,3.0
100116,20240102,410,1,2,35.73,0.0,0.0
100117,20240102,435,2,2,102.66,9.99,10.3
100118,20240102,91,1,5,132.82,4.99,22.56
100119,20240102,142,1,3,281.79,4.99,0.0
100120,20240102,162,1,5,79.57,4.99,3.93
100121,20240102,711,3,4,242.91,0.0,0.0
100122,20240102,463,2,4,42.55,0.0,0.0
100123,20240102,765,2,1,338.19,4.99,17.54
100124,20240102,702,1,3,54.75,4.99,0.0
100125,20240102,963,3,3,270.87,0.0,0.0
100126,20240102,635,3,1,112.01,6.99,18.53
100127,20240102,555,2,3,30.77,0.0,0.0
100128,20240102,381,4,5,165.31,4.99,17.81
100129,20240102,331,1,5,166.75,0.0,8.78
100130,20240102,307,5,5,180.49,4.99,0.0
100131,20240102,529,1,4,56.56,9.99,8.22
100132,20240102,181,3,5,82.65,6.99,0.0
100133,20240102,31,1,3,89.23,4.99,0.0
100134,20240102,611,3,4,55.98,4.99,0.0
100135,20240102,765,1,1,249.74,4.99,0.0
100136,20240102,333,1,5,360.26,4.99,39.48
100137,20240102,976,1,1,32.56,4.99,3.06
100138,20240102,272,3,4,45.45,0.0,0.0
100139,20240102,826,1,1,228.36,6.99,39.07
100140,20240103,402,4,3,31.57,0.0,0.0
100141,20240103,62,1,5,39.91,4.99,3.88
